feature_family,feature_name,training_nonmissing_rows,included_in_model,exclusion_reason
platform_rating,platform_rating_overall_sentiment_180d_mean,5396,True,
platform_rating,platform_rating_overall_polarity_180d_mean,5396,True,
platform_rating,platform_rating_appearance_sentiment_180d_mean,5396,True,
platform_rating,platform_rating_interior_sentiment_180d_mean,5396,True,
platform_rating,platform_rating_space_sentiment_180d_mean,5396,True,
platform_rating,platform_rating_power_sentiment_180d_mean,2750,True,
platform_rating,platform_rating_control_sentiment_180d_mean,2324,True,
platform_rating,platform_rating_comfort_sentiment_180d_mean,2324,True,
platform_rating,platform_rating_fuel_consumption_sentiment_180d_mean,1194,True,
platform_rating,platform_rating_configuration_sentiment_180d_mean,4794,True,
platform_rating,platform_rating_intelligence_sentiment_180d_mean,0,False,all values missing in train split
platform_rating,platform_rating_value_sentiment_180d_mean,0,False,all values missing in train split
local_context,sentiment_review_count_prior_all,9468,True,
local_context,sentiment_review_count_180d,9468,True,
local_context,sentiment_available_prior,9468,True,
local_context,sentiment_available_180d,9468,True,
local_lexicon,text_global_polarity_180d_mean,5396,True,
local_lexicon,text_appearance_polarity_180d_mean,5076,True,
local_lexicon,text_interior_polarity_180d_mean,4983,True,
local_lexicon,text_space_polarity_180d_mean,5211,True,
local_lexicon,text_power_polarity_180d_mean,5175,True,
local_lexicon,text_control_polarity_180d_mean,4944,True,
local_lexicon,text_comfort_polarity_180d_mean,5116,True,
local_lexicon,text_fuel_consumption_polarity_180d_mean,5195,True,
local_lexicon,text_configuration_polarity_180d_mean,4986,True,
local_lexicon,text_intelligence_polarity_180d_mean,4554,True,
local_lexicon,text_value_polarity_180d_mean,5017,True,
local_lexicon,text_appearance_mentioned_180d_count,9468,True,
local_lexicon,text_interior_mentioned_180d_count,9468,True,
local_lexicon,text_space_mentioned_180d_count,9468,True,
local_lexicon,text_power_mentioned_180d_count,9468,True,
local_lexicon,text_control_mentioned_180d_count,9468,True,
local_lexicon,text_comfort_mentioned_180d_count,9468,True,
local_lexicon,text_fuel_consumption_mentioned_180d_count,9468,True,
local_lexicon,text_configuration_mentioned_180d_count,9468,True,
local_lexicon,text_intelligence_mentioned_180d_count,9468,True,
local_lexicon,text_value_mentioned_180d_count,9468,True,
review_core,review_count_prior_all,9468,True,
review_core,review_count_180d,9468,True,
review_core,review_available_prior,9468,True,
review_core,review_available_180d,9468,True,
review_core,review_appearance_score_prior_mean,7250,True,
review_core,review_interior_score_prior_mean,7250,True,
review_core,review_space_score_prior_mean,7250,True,
review_core,review_power_score_prior_mean,7250,True,
review_core,review_control_score_prior_mean,7250,True,
review_core,review_comfort_score_prior_mean,7250,True,
review_core,review_fuel_consumption_score_prior_mean,7250,True,
review_core,review_configuration_score_prior_mean,7250,True,
review_core,review_intelligence_score_prior_mean,7250,True,
review_core,review_value_score_prior_mean,7250,True,
review_core,review_appearance_score_180d_mean,5396,True,
review_core,review_interior_score_180d_mean,5396,True,
review_core,review_space_score_180d_mean,5396,True,
review_core,review_power_score_180d_mean,5396,True,
review_core,review_control_score_180d_mean,5396,True,
review_core,review_comfort_score_180d_mean,5396,True,
review_core,review_fuel_consumption_score_180d_mean,5396,True,
review_core,review_configuration_score_180d_mean,5396,True,
review_core,review_intelligence_score_180d_mean,5396,True,
review_core,review_value_score_180d_mean,5396,True,
review_core,review_overall_aspect_score_180d_mean,5396,True,
review_core,review_any_positive_180d_rate,5396,True,
review_core,review_any_negative_180d_rate,5396,True,
review_rich,review_count_prior_all,9468,True,
review_rich,review_count_180d,9468,True,
review_rich,review_available_prior,9468,True,
review_rich,review_available_180d,9468,True,
review_rich,review_appearance_score_prior_mean,7250,True,
review_rich,review_interior_score_prior_mean,7250,True,
review_rich,review_space_score_prior_mean,7250,True,
review_rich,review_power_score_prior_mean,7250,True,
review_rich,review_control_score_prior_mean,7250,True,
review_rich,review_comfort_score_prior_mean,7250,True,
review_rich,review_fuel_consumption_score_prior_mean,7250,True,
review_rich,review_configuration_score_prior_mean,7250,True,
review_rich,review_intelligence_score_prior_mean,7250,True,
review_rich,review_value_score_prior_mean,7250,True,
review_rich,review_appearance_score_180d_mean,5396,True,
review_rich,review_interior_score_180d_mean,5396,True,
review_rich,review_space_score_180d_mean,5396,True,
review_rich,review_power_score_180d_mean,5396,True,
review_rich,review_control_score_180d_mean,5396,True,
review_rich,review_comfort_score_180d_mean,5396,True,
review_rich,review_fuel_consumption_score_180d_mean,5396,True,
review_rich,review_configuration_score_180d_mean,5396,True,
review_rich,review_intelligence_score_180d_mean,5396,True,
review_rich,review_value_score_180d_mean,5396,True,
review_rich,review_appearance_positive_180d_rate,5396,True,
review_rich,review_interior_positive_180d_rate,5396,True,
review_rich,review_space_positive_180d_rate,5396,True,
review_rich,review_power_positive_180d_rate,5396,True,
review_rich,review_control_positive_180d_rate,5396,True,
review_rich,review_comfort_positive_180d_rate,5396,True,
review_rich,review_fuel_consumption_positive_180d_rate,5396,True,
review_rich,review_configuration_positive_180d_rate,5396,True,
review_rich,review_intelligence_positive_180d_rate,5396,True,
